player_id,player_name,nationality,position_group,club_2024_25,league_2024_25,club_season_start,mid_season_tranfers,club_2025_26,league_2025_26,transferred,moved_up,ig_followers,engagement_rate,google_trends,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,Whoscored_Rating,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,club_ig_followers,club_ig_followers_2024_25,club_ig_followers_2025_26,in_ballondor,consensus_count
P034,Jamal Musiala,Germany,Midfielder,Bayern Munich,Bundesliga,Bayern Munich,0,Bayern Munich,Bundesliga,0,0,7483854.0,2.67,5.96,25.0,1807.0,12.0,2.0,14.0,0.598,0.1,2.7,2.9,2.2,0.1,1.3,1.6,36.9,83.5,0.0,0.5,1.4,0.3,0.8,0.2,0.0,7.56,,,,1,Quarter Final,4,44903622,44903622,44903622,False,3
P035,Thibaut Courtois,Belgium,Goalkeeper,Real Madrid,La Liga,Real Madrid,0,Real Madrid,La Liga,0,0,18128183.0,1.2,4.27,30.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,28.2,80.3,0.0,2.8,0.0,0.0,0.0,0.8,0.0,6.8,29.0,72.6,11.0,2,Quarter Final,4,179140683,179140683,179140683,False,3
P036,Luis Díaz,Columbia,Forward,Liverpool,Premier League,Liverpool,0,Bayern Munich,Bundesliga,1,0,8589243.0,4.73,3.8,36.0,2413.0,13.0,5.0,18.0,0.485,0.186,2.0,1.5,0.9,0.3,1.4,1.6,22.9,86.1,0.3,0.9,1.1,0.2,1.3,0.2,0.0,7.21,,,,1,Round of 16,3,48467485,48467485,44903622,False,3
P037,Ryan Gravenberch,Netherlands,Midfielder,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,2033724.0,5.77,1.04,37.0,3169.0,0.0,4.0,4.0,0.0,0.114,0.5,1.0,1.4,0.0,0.7,0.7,51.5,89.5,0.1,1.1,1.9,1.6,1.3,1.5,0.3,6.94,,,,1,Round of 16,3,48467485,48467485,48467485,False,3
P038,Joshua Kimmich,Germany,Midfielder,Bayern Munich,Bundesliga,Bayern Munich,0,Bayern Munich,Bundesliga,0,0,8783189.0,2.49,2.18,33.0,2847.0,3.0,6.0,9.0,0.095,0.19,1.0,0.4,0.8,0.1,0.2,2.5,103.8,92.9,1.3,6.0,1.4,0.8,0.5,0.9,0.1,7.38,,,,1,Quarter Final,4,44903622,44903622,44903622,False,3
P039,Federico Valverde,Uruguay,Midfielder,Real Madrid,La Liga,Real Madrid,0,Real Madrid,La Liga,0,0,21685695.0,3.88,3.55,36.0,3034.0,6.0,4.0,10.0,0.178,0.119,1.6,0.4,0.4,0.0,0.0,1.1,60.1,91.1,0.1,3.9,1.4,1.5,0.3,1.4,0.2,7.16,,,,2,Quarter Final,4,179140683,179140683,179140683,False,3
P040,Marquinhos,Brazil,Defender,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,7691357.0,2.97,1.51,22.0,1725.0,2.0,0.0,2.0,0.104,0.0,0.4,0.1,0.3,0.0,0.0,0.4,82.4,95.1,0.0,4.4,1.4,0.5,0.8,2.8,0.7,6.93,,,,1,Winner,7,66864756,66864756,66864756,False,3
P041,Lionel Messi,Argentina,Forward,Inter Miami,MLS,Inter Miami,0,Inter Miami,MLS,0,0,512195678.0,1.91,100.0,20.0,1576.0,21.0,10.0,31.0,1.199,0.571,4.6,2.8,1.4,0.4,2.0,1.9,43.8,80.7,0.4,2.5,0.8,0.1,0.4,0.2,0.1,8.32,,,,1,Not Qualified,0,18271962,18271962,18271962,False,3
P042,Alisson,Brazil,Goalkeeper,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,9210836.0,2.43,2.36,28.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,29.6,80.7,0.0,3.1,0.0,0.0,0.0,1.1,0.0,6.8,29.0,72.6,10.0,1,Round of 16,3,48467485,48467485,48467485,False,3
P043,Dominik Szoboszlai,Hungary,Midfielder,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,5504148.0,8.2,2.0,36.0,2496.0,6.0,6.0,12.0,0.216,0.216,1.9,0.6,0.7,0.1,0.6,1.6,34.5,85.8,0.4,1.5,1.1,0.3,1.2,0.4,0.1,6.89,,,,1,Round of 16,3,48467485,48467485,48467485,False,3
P044,Alexander Isak,Sweden,Forward,Newcastle,Premier League,Newcastle,0,Liverpool,Premier League,1,1,3067502.0,12.29,4.02,34.0,2774.0,23.0,6.0,29.0,0.746,0.195,2.9,1.2,0.4,0.6,1.6,1.2,19.4,77.1,0.1,0.4,0.4,0.1,0.8,0.5,0.1,7.3,,,,5,Not Qualified,0,3712647,3712647,48467485,False,3
P045,Frenkie de Jong,Netherlands,Midfielder,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,14571592.0,4.14,2.32,26.0,1140.0,2.0,2.0,4.0,0.158,0.158,0.2,0.2,0.7,0.0,0.3,0.8,43.8,95.1,0.0,1.5,0.7,0.5,0.5,0.2,0.0,6.53,,,,1,Semi Final,5,145936297,145936297,145936297,False,3
P046,Bruno Fernandes,Portugal,Midfielder,Manchester United,Premier League,Manchester United,0,Manchester United,Premier League,0,0,11493812.0,4.69,3.6,36.0,3024.0,8.0,10.0,18.0,0.238,0.298,2.7,0.8,1.1,0.1,1.2,2.5,56.1,81.5,1.2,4.5,2.3,0.7,0.9,0.8,0.2,7.2,,,,15,Not Qualified,0,65809385,65809385,65809385,False,3
