player_name,trends_link
Emiliano Martínez,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CEmiliano%20Mart%C3%ADnez
Morgan Rogers,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMorgan%20Rogers
Hugo Ekitiké,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CHugo%20Ekitik%C3%A9
Jérémy Doku,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJ%C3%A9r%C3%A9my%20Doku
Kenan Yildiz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CKenan%20Yildiz
Nick Woltemade,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CNick%20Woltemade
Tijjani Reijnders,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CTijjani%20Reijnders
Dean Huijsen,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDean%20Huijsen
Antoine Griezmann,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAntoine%20Griezmann
Joan García,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJoan%20Garc%C3%ADa
Enzo Fernández,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CEnzo%20Fern%C3%A1ndez
Hakan Çalhanoğlu,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CHakan%20%C3%87alhano%C4%9Flu
Estêvão,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CEst%C3%AAv%C3%A3o
Phil Foden,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CPhil%20Foden
Fermín López,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFerm%C3%ADn%20L%C3%B3pez
Bernardo Silva,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBernardo%20Silva
Kevin De Bruyne,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CKevin%20De%20Bruyne
Dani Olmo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDani%20Olmo
João Pedro,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJo%C3%A3o%20Pedro
Theo Hernández,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CTheo%20Hern%C3%A1ndez
Mikel Oyarzabal,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMikel%20Oyarzabal
Daniel Muñoz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDaniel%20Mu%C3%B1oz
André-Frank Zambo Anguissa,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAndr%C3%A9-Frank%20Zambo%20Anguissa
Dani Carvajal,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDani%20Carvajal
Granit Xhaka,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CGranit%20Xhaka
Nico Paz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CNico%20Paz
Reece James,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CReece%20James
Giorgian de Arrascaeta,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CGiorgian%20de%20Arrascaeta
Riccardo Calafiori,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRiccardo%20Calafiori
Mikel Merino,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMikel%20Merino
Mile Svilar,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMile%20Svilar
Miloš Kerkez,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMilo%C5%A1%20Kerkez
Tino Livramento,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CTino%20Livramento
Manuel Neuer,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CManuel%20Neuer
Mason Greenwood,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMason%20Greenwood
Álvaro Carreras,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2C%C3%81lvaro%20Carreras
Micky van de Ven,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMicky%20van%20de%20Ven
