player_name,month,trends_rel
Lamine Yamal,2025-03,0.4758
Lamine Yamal,2025-04,0.8003
Lamine Yamal,2025-05,1.1449
Lamine Yamal,2025-06,1.0138
Lamine Yamal,2025-07,1.1005
Alisson,2024-07,0.0445
Alisson,2024-08,0.0556
Alisson,2024-09,0.0622
Alisson,2024-10,0.0556
Alisson,2024-11,0.0556
Alisson,2024-12,0.0489
Alisson,2025-01,0.0445
Alisson,2025-02,0.0445
Alisson,2025-03,0.1067
Alisson,2025-04,0.05
Alisson,2025-05,0.05
Alisson,2025-06,0.0534
Alisson,2025-07,0.0445
Thiago Almada,2024-07,0.0667
Thiago Almada,2024-08,0.0222
Thiago Almada,2024-09,0.0289
Thiago Almada,2024-10,0.0389
Thiago Almada,2024-11,0.0278
Thiago Almada,2024-12,0.0311
Thiago Almada,2025-01,0.0278
Thiago Almada,2025-02,0.0195
Thiago Almada,2025-03,0.0934
Thiago Almada,2025-04,0.0306
Thiago Almada,2025-05,0.0139
Thiago Almada,2025-06,0.0489
Thiago Almada,2025-07,0.0667
Julián Álvarez,2024-07,0.2446
Julián Álvarez,2024-08,0.3891
Julián Álvarez,2024-09,0.0845
Julián Álvarez,2024-10,0.0611
Julián Álvarez,2024-11,0.1
Julián Álvarez,2024-12,0.0667
Julián Álvarez,2025-01,0.0723
Julián Álvarez,2025-02,0.0889
Julián Álvarez,2025-03,0.2268
Julián Álvarez,2025-04,0.0778
Julián Álvarez,2025-05,0.1056
Julián Álvarez,2025-06,0.0978
Julián Álvarez,2025-07,0.0445
Antony,2024-07,0.1112
Antony,2024-08,0.139
Antony,2024-09,0.1646
Antony,2024-10,0.1168
Antony,2024-11,0.0834
Antony,2024-12,0.0801
Antony,2025-01,0.2447
Antony,2025-02,0.367
Antony,2025-03,0.1868
Antony,2025-04,0.139
Antony,2025-05,0.3003
Antony,2025-06,0.0979
Antony,2025-07,0.0778
Alejandro Balde,2024-07,0.0222
Alejandro Balde,2024-08,0.0334
Alejandro Balde,2024-09,0.0222
Alejandro Balde,2024-10,0.0445
Alejandro Balde,2024-11,0.0334
Alejandro Balde,2024-12,0.0311
Alejandro Balde,2025-01,0.0612
Alejandro Balde,2025-02,0.0278
Alejandro Balde,2025-03,0.0489
Alejandro Balde,2025-04,0.1112
Alejandro Balde,2025-05,0.0778
Alejandro Balde,2025-06,0.0311
Alejandro Balde,2025-07,0.0222
Bradley Barcola,2024-07,0.0222
Bradley Barcola,2024-08,0.0389
Bradley Barcola,2024-09,0.0622
Bradley Barcola,2024-10,0.0445
Bradley Barcola,2024-11,0.0333
Bradley Barcola,2024-12,0.0222
Bradley Barcola,2025-01,0.0445
Bradley Barcola,2025-02,0.0445
Bradley Barcola,2025-03,0.0578
Bradley Barcola,2025-04,0.0445
Bradley Barcola,2025-05,0.0723
Bradley Barcola,2025-06,0.0934
Bradley Barcola,2025-07,0.0556
Nicolò Barella,2024-07,0.0222
Nicolò Barella,2024-08,0.0278
Nicolò Barella,2024-09,0.0356
Nicolò Barella,2024-10,0.0222
Nicolò Barella,2024-11,0.0222
Nicolò Barella,2024-12,0.0267
Nicolò Barella,2025-01,0.0278
Nicolò Barella,2025-02,0.0222
Nicolò Barella,2025-03,0.0222
Nicolò Barella,2025-04,0.0445
Nicolò Barella,2025-05,0.05
Nicolò Barella,2025-06,0.0267
Nicolò Barella,2025-07,0.0222
Alessandro Bastoni,2024-07,0.0111
Alessandro Bastoni,2024-08,0.0222
Alessandro Bastoni,2024-09,0.0222
Alessandro Bastoni,2024-10,0.0195
Alessandro Bastoni,2024-11,0.0167
Alessandro Bastoni,2024-12,0.02
Alessandro Bastoni,2025-01,0.0222
Alessandro Bastoni,2025-02,0.0195
Alessandro Bastoni,2025-03,0.0222
Alessandro Bastoni,2025-04,0.0278
Alessandro Bastoni,2025-05,0.0723
Alessandro Bastoni,2025-06,0.0267
Alessandro Bastoni,2025-07,0.0222
Bernardo Silva,2024-07,0.0222
Bernardo Silva,2024-08,0.0389
Bernardo Silva,2024-09,0.0311
Bernardo Silva,2024-10,0.0222
Bernardo Silva,2024-11,0.0222
Bernardo Silva,2024-12,0.0267
Bernardo Silva,2025-01,0.0278
Bernardo Silva,2025-02,0.0278
Bernardo Silva,2025-03,0.0222
Bernardo Silva,2025-04,0.0278
