player_name,position_group,club_2024_25,league_2024_25,nationality,Whoscored_Rating,log_attention,perf_z,group
Tino Livramento,Defender,Newcastle,Premier League,England,6.68,12.479909311159902,-1.017805337899822,Squad Players
Manuel Neuer,Goalkeeper,Bayern Munich,Bundesliga,Germany,6.63,16.52590141758679,-1.301998549632611,Fan Favourites
Mason Greenwood,Forward,Marseille,Ligue 1,Jamaica,7.38,14.970446782763007,0.3008764426884003,Underrated Performers
Álvaro Carreras,Defender,Benfica,Liga Portugal,Spain,7.06,14.956798801505588,1.0676977564243215,Underrated Performers
Micky van de Ven,Defender,Tottenham,Premier League,Netherlands,6.5,13.823435075867076,-2.005675224684941,Squad Players
Antony,Forward,Real Betis,La Liga,Brazil,7.18,16.193590247018893,-0.26139762515870835,Fan Favourites
Mohammed Kudus,Forward,West Ham,Premier League,Ghana,6.89,13.756711269213357,-1.0766950235370152,Squad Players
Matz Sels,Goalkeeper,Nottingham Forest,Premier League,Belgium,6.79,11.56171562913966,0.027702096800698246,Squad Players
Jeremie Frimpong,Defender,Bayer Leverkusen,Bundesliga,Netherlands,6.69,14.934947826964551,-0.962923677522867,Squad Players
Murillo,Defender,Nottingham Forest,Premier League,Brazil,7.01,13.462423455731384,0.7932894545395667,Underrated Performers
Ibrahima Konaté,Defender,Liverpool,Premier League,France,6.84,15.137108252108867,-0.13969877186860263,Underrated Performers
Rodrigo De Paul,Midfielder,Atletico Madrid,La Liga,Argentina,6.69,16.523925825754866,-1.421424434352046,Fan Favourites
Thiago Almada,Midfielder,Lyon,Ligue 1,Argentina,6.57,14.748140672116696,-1.947745320623459,Squad Players
Oihan Sancet,Midfielder,Athletic Club,La Liga,Spain,6.82,11.703545824578878,-0.8512434742246827,Squad Players
Isco,Midfielder,Real Betis,La Liga,Spain,7.2,17.188173099290243,0.8154393323014569,Top Stars
Morgan Gibbs-White,Midfielder,Nottingham Forest,Premier League,England,7.0,13.076434615515915,-0.06176214481756496,Squad Players
Xavi Simons,Midfielder,RB Leipzig,Bundesliga,Netherlands,7.32,15.724379947468487,1.34176021857287,Top Stars
Giuliano Simeone,Midfielder,Atletico Madrid,La Liga,Argentina,6.66,14.087342172997747,-1.5530046559199002,Squad Players
